=== account repatch: launch attempt 1 2026-06-19T09:19:48Z ===
T=30d: 107 affected cells to repatch (of 181 total)
  [89/109] block 20,636,400   159s: acct_R=2,422,540
  [90/109] block 20,686,800   156s: acct_R=2,453,781
  [91/109] block 20,737,200   158s: acct_R=2,499,280
  [92/109] block 20,787,600   159s: acct_R=2,521,353
  [93/109] block 20,838,000   158s: acct_R=2,539,510
  [94/109] block 20,888,400   159s: acct_R=2,482,374
  [95/109] block 20,938,800   155s: acct_R=2,296,754
  [96/109] block 20,989,200   156s: acct_R=2,187,089
  [97/109] block 21,039,600   158s: acct_R=1,934,681
  [98/109] block 21,090,000   151s: acct_R=1,915,188
  [99/109] block 21,140,400   154s: acct_R=1,886,181
  [100/109] block 21,190,800   157s: acct_R=1,801,174
  [101/109] block 21,241,200   158s: acct_R=1,774,663
  [102/109] block 21,291,600   154s: acct_R=1,842,160
  [103/109] block 21,342,000   159s: acct_R=1,786,948
  [104/109] block 21,392,400   159s: acct_R=1,750,863
  [105/109] block 21,442,800   159s: acct_R=1,723,322
  [106/109] block 21,493,200   161s: acct_R=1,879,275
  [107/109] block 21,543,600   163s: acct_R=1,882,841
  [108/109] block 21,594,000   160s: acct_R=1,994,011
  [109/109] block 21,644,400   165s: acct_R=2,052,911
T=180d: 108 affected cells to repatch (of 160 total)
  [1/108] block 16,856,400   305s: acct_R=878,040
  [2/108] block 16,906,800   291s: acct_R=870,561
  [3/108] block 16,957,200   286s: acct_R=864,726
  [4/108] block 17,007,600   310s: acct_R=854,058
  [5/108] block 17,058,000   320s: acct_R=931,103
  [6/108] block 17,108,400   321s: acct_R=976,666
  [7/108] block 17,158,800   323s: acct_R=1,053,585
  [8/108] block 17,209,200   308s: acct_R=1,291,236
  [9/108] block 17,259,600   288s: acct_R=1,411,501
  [10/108] block 17,310,000   295s: acct_R=1,656,003
  [11/108] block 17,360,400   290s: acct_R=2,128,143
  [12/108] block 17,410,800   291s: acct_R=2,494,182
  [13/108] block 17,461,200   290s: acct_R=2,837,361
  [14/108] block 17,511,600   299s: acct_R=2,935,291
  [15/108] block 17,562,000   298s: acct_R=3,013,006
  [16/108] block 17,612,400   293s: acct_R=3,098,652
  [17/108] block 17,662,800   290s: acct_R=3,114,127
  [18/108] block 17,713,200   291s: acct_R=3,086,632
  [19/108] block 17,763,600   300s: acct_R=2,968,663
  [20/108] block 17,814,000   291s: acct_R=3,005,499
  [21/108] block 17,864,400   299s: acct_R=2,987,313
  [22/108] block 17,914,800   295s: acct_R=2,932,950
  [23/108] block 17,965,200   292s: acct_R=2,899,347
  [24/108] block 18,015,600   283s: acct_R=2,844,770
  [25/108] block 18,066,000   291s: acct_R=2,826,183
  [26/108] block 18,116,400   285s: acct_R=2,818,944
  [27/108] block 18,166,800   282s: acct_R=2,793,294
  [28/108] block 18,217,200   286s: acct_R=2,794,391
  [29/108] block 18,267,600   283s: acct_R=2,811,539
  [30/108] block 18,318,000   289s: acct_R=2,835,940
  [31/108] block 18,368,400   291s: acct_R=2,913,669
  [32/108] block 18,418,800   283s: acct_R=2,976,647
  [33/108] block 18,469,200   281s: acct_R=3,031,983
  [34/108] block 18,519,600   285s: acct_R=3,030,469
  [35/108] block 18,570,000   287s: acct_R=3,025,419
  [36/108] block 18,620,400   283s: acct_R=3,047,177
  [37/108] block 18,670,800   286s: acct_R=3,055,866
  [38/108] block 18,721,200   282s: acct_R=3,094,729
  [39/108] block 18,771,600   291s: acct_R=3,094,779
  [40/108] block 18,822,000   289s: acct_R=3,130,937
  [41/108] block 18,872,400   285s: acct_R=3,329,734
  [42/108] block 18,922,800   285s: acct_R=3,390,022
  [43/108] block 18,973,200   283s: acct_R=3,428,028
  [44/108] block 19,023,600   291s: acct_R=3,457,311
  [45/108] block 19,074,000   291s: acct_R=3,538,600
  [46/108] block 19,124,400   295s: acct_R=3,592,970
  [47/108] block 19,174,800   289s: acct_R=3,627,568
  [48/108] block 19,225,200   288s: acct_R=3,697,066
  [49/108] block 19,275,600   291s: acct_R=3,735,916
  [50/108] block 19,326,000   296s: acct_R=3,751,302
  [51/108] block 19,376,400   297s: acct_R=3,747,931
  [52/108] block 19,426,800   294s: acct_R=3,810,583
  [53/108] block 19,477,200   295s: acct_R=3,963,568
  [54/108] block 19,527,600   299s: acct_R=4,056,999
  [55/108] block 19,578,000   300s: acct_R=4,038,231
  [56/108] block 19,628,400   305s: acct_R=4,081,560
  [57/108] block 19,678,800   310s: acct_R=4,154,796
  [58/108] block 19,729,200   314s: acct_R=4,246,977
  [59/108] block 19,779,600   312s: acct_R=4,381,866
  [60/108] block 19,830,000   312s: acct_R=4,467,913
  [61/108] block 19,880,400   314s: acct_R=4,700,113
  [62/108] block 19,930,800   319s: acct_R=4,808,454
  [63/108] block 19,981,200   319s: acct_R=4,816,428
  [64/108] block 20,031,600   318s: acct_R=4,791,125
  [65/108] block 20,082,000   327s: acct_R=4,782,641
  [66/108] block 20,132,400   326s: acct_R=4,817,875
  [67/108] block 20,182,800   334s: acct_R=4,785,976
  [68/108] block 20,233,200   333s: acct_R=4,851,335
  [69/108] block 20,283,600   334s: acct_R=4,938,006
  [70/108] block 20,334,000   335s: acct_R=5,048,943
  [71/108] block 20,384,400   339s: acct_R=5,214,064
  [72/108] block 20,434,800   342s: acct_R=5,176,714
  [73/108] block 20,485,200   341s: acct_R=5,161,322
  [74/108] block 20,535,600   344s: acct_R=5,116,904
  [75/108] block 20,586,000   349s: acct_R=5,141,557
  [76/108] block 20,636,400   344s: acct_R=5,138,107
  [77/108] block 20,686,800   346s: acct_R=5,191,190
  [78/108] block 20,737,200   345s: acct_R=5,225,791
  [79/108] block 20,787,600   345s: acct_R=5,145,557
  [80/108] block 20,838,000   342s: acct_R=5,125,580
  [81/108] block 20,888,400   341s: acct_R=5,146,528
  [82/108] block 20,938,800   343s: acct_R=5,005,148
  [83/108] block 20,989,200   335s: acct_R=4,875,341
  [84/108] block 21,039,600   337s: acct_R=4,681,621
  [85/108] block 21,090,000   338s: acct_R=4,503,297
  [86/108] block 21,140,400   337s: acct_R=4,410,102
  [87/108] block 21,190,800   334s: acct_R=4,064,268
  [88/108] block 21,241,200   338s: acct_R=3,939,689
  [89/108] block 21,291,600   334s: acct_R=4,025,775
  [90/108] block 21,342,000   343s: acct_R=4,006,507
  [91/108] block 21,392,400   344s: acct_R=4,007,984
  [92/108] block 21,442,800   335s: acct_R=3,984,692
  [93/108] block 21,493,200   342s: acct_R=4,146,030
  [94/108] block 21,543,600   337s: acct_R=4,064,309
  [95/108] block 21,594,000   342s: acct_R=3,987,691
  [96/108] block 21,644,400   342s: acct_R=3,894,627
  [97/108] block 21,694,800   345s: acct_R=3,727,354
  [98/108] block 21,745,200   346s: acct_R=3,735,056
  [99/108] block 21,795,600   348s: acct_R=3,700,989
  [100/108] block 21,846,000   345s: acct_R=3,653,610
  [101/108] block 21,896,400   352s: acct_R=3,602,293
  [102/108] block 21,946,800   354s: acct_R=3,533,695
  [103/108] block 21,997,200   354s: acct_R=3,434,935
  [104/108] block 22,047,600   355s: acct_R=3,378,290
  [105/108] block 22,098,000   359s: acct_R=3,329,656
  [106/108] block 22,148,400   359s: acct_R=3,239,384
  [107/108] block 22,198,800   362s: acct_R=3,190,604
  [108/108] block 22,249,200   366s: acct_R=3,202,656
T=365d: 109 affected cells to repatch (of 134 total)
  [1/109] block 18,166,800   641s: acct_R=1,116,408
  [2/109] block 18,217,200   596s: acct_R=1,105,817
  [3/109] block 18,267,600   578s: acct_R=1,097,999
  [4/109] block 18,318,000   575s: acct_R=1,085,796
  [5/109] block 18,368,400   569s: acct_R=1,113,059
  [6/109] block 18,418,800   576s: acct_R=1,178,379
  [7/109] block 18,469,200   566s: acct_R=1,264,697
  [8/109] block 18,519,600   570s: acct_R=1,382,323
  [9/109] block 18,570,000   566s: acct_R=1,584,584
  [10/109] block 18,620,400   569s: acct_R=1,754,782
  [11/109] block 18,670,800   572s: acct_R=2,182,364
  [12/109] block 18,721,200   573s: acct_R=2,700,374
  [13/109] block 18,771,600   563s: acct_R=3,153,791
  [14/109] block 18,822,000   562s: acct_R=3,371,160
  [15/109] block 18,872,400   569s: acct_R=3,493,048
  [16/109] block 18,922,800   567s: acct_R=3,660,228
  [17/109] block 18,973,200   568s: acct_R=3,807,918
  [18/109] block 19,023,600   565s: acct_R=3,797,900
  [19/109] block 19,074,000   563s: acct_R=3,784,912
  [20/109] block 19,124,400   572s: acct_R=3,863,470
  [21/109] block 19,174,800   575s: acct_R=3,898,434
  [22/109] block 19,225,200   589s: acct_R=3,900,789
